season,week,away_team,home_team,spread,spread_favorite,spread_line,total,away_score,home_score,winner,game_date,source,away_team_win,home_field_advantage,division_game,conference_game,early_season,late_season,playoffs
2020,1,PIT,BUF,2.5,home,-2.5,48.5,16,27,home,2020-09-01,sample_data,0,1,0,1,1,0,0
2020,1,MIN,HOU,5.0,home,-5.0,50.5,10,18,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,SEA,TB,4.5,home,-4.5,41.5,19,28,home,2020-09-01,sample_data,0,1,0,1,1,0,0
2020,1,BAL,LAR,5.5,home,-5.5,35.5,29,32,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,NYJ,DET,3.0,home,-3.0,51.5,25,18,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,1,NYG,NE,5.5,away,5.5,51.0,14,18,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,PHI,KC,1.0,away,1.0,51.5,29,33,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,MIA,SF,5.5,home,-5.5,40.5,22,26,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,CHI,ATL,6.5,home,-6.5,38.5,20,29,home,2020-09-01,sample_data,0,1,0,1,1,0,0
2020,1,LV,ARI,2.0,away,2.0,41.5,17,25,home,2020-09-01,sample_data,0,1,0,0,1,0,0
2020,1,IND,DAL,1.5,away,1.5,50.0,26,19,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,1,DEN,WAS,6.0,home,-6.0,46.0,28,26,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,1,CLE,GB,0.5,away,0.5,52.0,19,18,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,1,TEN,CAR,5.0,home,-5.0,44.0,21,11,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,1,LAC,JAX,1.0,away,1.0,43.5,22,23,home,2020-09-01,sample_data,0,1,0,1,1,0,0
2020,1,CIN,NO,2.5,home,-2.5,35.0,23,10,away,2020-09-01,sample_data,1,1,0,0,1,0,0
2020,2,TB,JAX,2.5,home,-2.5,45.5,18,8,away,2020-09-02,sample_data,1,1,0,0,1,0,0
2020,2,HOU,BAL,5.5,home,-5.5,51.5,28,16,away,2020-09-02,sample_data,1,1,0,1,1,0,0
2020,2,CLE,ATL,2.5,home,-2.5,40.0,16,17,home,2020-09-02,sample_data,0,1,0,0,1,0,0
2020,2,SF,NYJ,1.0,home,-1.0,35.5,25,22,away,2020-09-02,sample_data,1,1,0,0,1,0,0
2020,2,NE,DEN,2.0,home,-2.0,36.0,20,28,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,NO,TEN,2.0,home,-2.0,47.0,21,25,home,2020-09-02,sample_data,0,1,0,0,1,0,0
2020,2,CHI,LAR,2.5,home,-2.5,35.0,22,33,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,MIA,LV,3.0,home,-3.0,59.5,20,21,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,DET,DAL,8.0,home,-8.0,35.0,13,20,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,SEA,NYG,1.0,home,-1.0,49.0,21,17,away,2020-09-02,sample_data,1,1,0,1,1,0,0
2020,2,PHI,ARI,3.5,home,-3.5,47.5,9,22,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,IND,CIN,1.5,home,-1.5,49.5,16,19,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,LAC,WAS,1.0,home,-1.0,43.5,23,24,home,2020-09-02,sample_data,0,1,0,0,1,0,0
2020,2,BUF,KC,8.0,home,-8.0,49.5,23,26,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,2,GB,PIT,0.0,pick,0.0,44.5,5,17,home,2020-09-02,sample_data,0,1,0,0,1,0,0
2020,2,CAR,MIN,7.0,home,-7.0,45.5,22,25,home,2020-09-02,sample_data,0,1,0,1,1,0,0
2020,3,LV,TB,5.5,home,-5.5,43.0,27,26,away,2020-09-03,sample_data,1,1,0,0,1,0,0
2020,3,NYJ,DEN,5.0,home,-5.0,40.0,28,30,home,2020-09-03,sample_data,0,1,0,1,1,0,0
2020,3,HOU,SEA,2.5,away,2.5,44.5,17,24,home,2020-09-03,sample_data,0,1,0,0,1,0,0
2020,3,CHI,TEN,1.5,away,1.5,51.0,30,24,away,2020-09-03,sample_data,1,1,0,0,1,0,0
2020,3,CIN,ATL,4.5,home,-4.5,43.5,5,17,home,2020-09-03,sample_data,0,1,0,0,1,0,0
2020,3,GB,CLE,7.0,home,-7.0,47.0,29,32,home,2020-09-03,sample_data,0,1,0,0,1,0,0
2020,3,SF,NE,5.5,home,-5.5,35.0,25,20,away,2020-09-03,sample_data,1,1,0,0,1,0,0
2020,3,MIN,PIT,2.0,home,-2.0,49.0,19,7,away,2020-09-03,sample_data,1,1,0,0,1,0,0
2020,3,NYG,DAL,5.5,home,-5.5,51.0,25,34,home,2020-09-03,sample_data,0,1,1,1,1,0,0
2020,3,CAR,BAL,7.0,home,-7.0,42.5,30,22,away,2020-09-03,sample_data,1,1,0,0,1,0,0
2020,3,JAX,WAS,1.0,away,1.0,36.5,25,33,home,2020-09-03,sample_data,0,1,0,0,1,0,0
2020,3,LAR,LAC,6.5,home,-6.5,51.0,19,26,home,2020-09-03,sample_data,0,1,0,0,1,0,0
2020,3,BUF,MIA,0.5,away,0.5,40.0,7,20,home,2020-09-03,sample_data,0,1,1,1,1,0,0
2020,3,NO,PHI,0.5,home,-0.5,43.5,31,19,away,2020-09-03,sample_data,1,1,0,1,1,0,0
2020,3,IND,KC,9.5,home,-9.5,37.5,29,33,home,2020-09-03,sample_data,0,1,0,1,1,0,0
2020,3,DET,ARI,4.0,away,4.0,47.0,28,16,away,2020-09-03,sample_data,1,1,0,1,1,0,0
2020,4,KC,LAR,3.0,home,-3.0,45.0,20,24,home,2020-09-04,sample_data,0,1,0,0,1,0,0
